name,year,Price,kms_driven,fuel_type,company
Renault Kwid RXT,2018,325000,15000,Petrol,Renault
Maruti Suzuki Maruti,2003,57000,56758,Petrol,Maruti
Renault Kwid 1.0,2018,349999,10000,Petrol,Renault
Renault Lodgy 85,2018,689999,20000,Diesel,Renault
Renault Scala RxL,2014,349999,49000,Diesel,Renault
Hyundai Grand i10,2014,410000,41000,Petrol,Hyundai
Maruti Suzuki Swift,2011,225000,45000,Petrol,Maruti
Chevrolet Beat LS,2010,120000,43000,Petrol,Chevrolet
Tata Indigo eCS,2016,320000,175430,Diesel,Tata
Hyundai Santro Xing,2000,59000,56450,Petrol,Hyundai
Hyundai Fluidic Verna,2015,540000,38000,Diesel,Hyundai
Chevrolet Beat LS,2010,80000,56000,Petrol,Chevrolet
Mahindra Quanto C8,2013,340000,37000,Diesel,Mahindra
Fiat Petra ELX,2008,75000,65000,Petrol,Fiat
Chevrolet Beat LS,2015,220000,32700,Petrol,Chevrolet
Skoda Fabia 1.2L,2011,159500,38200,Diesel,Skoda
Ford EcoSport Titanium,2016,599000,30000,Diesel,Ford
Hyundai Accent GLX,2006,80000,56000,Petrol,Hyundai
Mahindra TUV300 T4,2016,675000,9000,Diesel,Mahindra
Mini Cooper S,2013,1891111,13000,Petrol,Mini
Mini Cooper S,2013,1891111,13000,Petrol,Mini
Tata Indica V2,2008,150000,11000,Petrol,Tata
Mini Cooper S,2013,1891111,13000,Petrol,Mini
Tata Indigo CS,2009,72500,46000,Diesel,Tata
Maruti Suzuki Swift,2019,610000,73,Petrol,Maruti
Mahindra Scorpio VLX,2004,230000,160000,Diesel,Mahindra
Honda Accord,2009,175000,58559,Petrol,Honda
Mahindra Scorpio S4,2015,855000,30000,Diesel,Mahindra
Chevrolet Tavera Neo,2013,375000,55000,Diesel,Chevrolet
Ford EcoSport Titanium,2014,520000,57000,Diesel,Ford
Maruti Suzuki Ertiga,2015,524999,50000,Diesel,Maruti
Honda Amaze,2014,299999,37000,Petrol,Honda
Maruti Suzuki Dzire,2012,299999,40000,Petrol,Maruti
Honda City,2011,284999,55000,Petrol,Honda
Mahindra Scorpio 2.6,2007,220000,170000,Diesel,Mahindra
Maruti Suzuki Dzire,2014,424999,55000,Diesel,Maruti
Honda City,2015,644999,39000,Petrol,Honda
Honda Mobilio,2014,399999,44000,Petrol,Honda
Toyota Corolla Altis,2009,199999,65000,Petrol,Toyota
Honda City,2014,584999,39000,Petrol,Honda
Skoda Laura,2012,349999,44000,Diesel,Skoda
Renault Duster,2015,449999,49000,Diesel,Renault
Maruti Suzuki Ertiga,2018,799999,9000,Diesel,Maruti
Maruti Suzuki Dzire,2015,444999,45000,Diesel,Maruti
Mahindra XUV500,2014,649999,47000,Diesel,Mahindra
Hyundai Verna Fluidic,2012,444999,40000,Diesel,Hyundai
Maruti Suzuki Vitara,2016,689999,29000,Diesel,Maruti
Maruti Suzuki Wagon,2016,344999,15000,Petrol,Maruti
Mahindra Scorpio,2015,944999,45000,Diesel,Mahindra
Honda Amaze,2014,274999,35000,Petrol,Honda
Mahindra XUV500,2013,689999,80000,Diesel,Mahindra
Mahindra Scorpio,2013,574999,68000,Diesel,Mahindra
Skoda Laura,2013,374999,50000,Diesel,Skoda
Volkswagen Polo,2010,199999,60000,Diesel,Volkswagen
Hyundai Elite i20,2016,549999,9000,Petrol,Hyundai
Tata Manza Aura,2012,130000,72000,Diesel,Tata
Chevrolet Sail UVA,2013,210000,60000,Petrol,Chevrolet
Renault Duster 110,2012,501000,38000,Diesel,Renault
Hyundai Verna Fluidic,2013,401000,45000,Diesel,Hyundai
Audi A4 2.0,2012,1350000,40000,Diesel,Audi
Hyundai Elantra SX,2013,600000,20000,Petrol,Hyundai
Mahindra Scorpio VLX,2013,610000,35000,Diesel,Mahindra
Mahindra KUV100 K8,2016,400000,20000,Diesel,Mahindra
Renault Scala RxL,2015,375000,25000,Diesel,Renault
Mahindra Quanto C8,2013,375000,20000,Diesel,Mahindra
Hyundai Grand i10,2014,365000,20000,Petrol,Hyundai
